Algorithm,Core_Analysis_Iter_0,Core_Analysis_Iter_1,Core_Analysis_Iter_2,Core_Gathering_Iter_0,Core_Gathering_Iter_1,Core_Gathering_Iter_2,EigSVD_Iter_0,EigSVD_Iter_1,EigSVD_Iter_2,TTM_Communication_Iter_0,TTM_Communication_Iter_1,TTM_Communication_Iter_2,TTM_Computation_Iter_0,TTM_Computation_Iter_1,TTM_Computation_Iter_2,GramLQ_Communication_Iter_0,GramLQ_Communication_Iter_1,GramLQ_Communication_Iter_2,GramLQ_Computation_Iter_0,GramLQ_Computation_Iter_1,GramLQ_Computation_Iter_2
HOSI-DT-Under,1.6260823190316059e-06,7.196573201964166e-05,0.0,0.001614109574763736,0.0012726055429921148,0.0,0.0030263959455576655,0.005951298144528275,0.0,0.053024262202822026,0.03668487177852776,0.0,0.17562557359235828,0.188647830971198,0.0,0.07887007219729487,0.054748462186345194,0.0,0.0003516456504455816,0.00035603981697546465,0.0
HOSI-DT-Perfect,2.417290065769876e-06,0.00019948790262080396,0.0,0.0015483690375010326,0.0014475731259249152,0.0,0.004421419501801304,0.007264800619275206,0.0,0.07496162548189629,0.06326650806946871,0.0,0.1902839574571316,0.20175499993781051,0.0,0.08881944101230636,0.03184635086444819,0.0,0.0005305605046649902,0.0005588580509339567,0.0
HOSI-DT-Over,1.4422803564147355e-06,0.0,0.0,0.001657173670171526,0.0,0.0,0.005651550200597193,0.0,0.0,0.08739777878612666,0.0,0.0,0.1800633679988657,0.0,0.0,0.07427621661563279,0.0,0.0,0.0004884042969703243,0.0,0.0
STHOSVD,0.0,0.0,0.0,0.0,0.0,0.0,48.36890794149038,0.0,0.0,0.008331751507866343,0.0,0.0,0.13414457467800284,0.0,0.0,3.060940372530617,0.0,0.0,3.0921753597931305,0.0,0.0
