Algorithms,ProcessorID,Total_Function,Total_Sum,Function/Sum,Factor_Matrix_Gen,CONTRACTION_matmul_Iter0,Core_Analysis_Iter_Iter0,Core_Gathering_Iter_Iter0,EigSVD_Iter0,TTM_Communication_Iter0,TTM_Computation_Iter0,GramLQ_Communication_Iter0,GramLQ_Computation_Iter0,CONTRACTION_matmul_Iter1,Core_Analysis_Iter_Iter1,Core_Gathering_Iter_Iter1,EigSVD_Iter1,TTM_Communication_Iter1,TTM_Computation_Iter1,GramLQ_Communication_Iter1,GramLQ_Computation_Iter1
HOOI,2048,1.61482,2.249230734,0.717943239699658,0.00037355950853728637,0.0,0.0,0.0,0.45611867344330886,0.08495579010580956,0.23294110665091058,0.033591689012737805,0.004483722812699214,0.0,0.0,0.0,0.4640052799314096,0.07886416017759251,0.2325637765044784,0.02486054794319736,0.002435253417855884
HOOI-DT,2048,1.35719,2.026411273,0.6697505181121246,0.00032950653890287553,0.0,0.0,0.0,0.45484900886652335,0.03506689206213768,0.16197003410585548,0.0282129244532287,0.0027787111808324407,0.0,0.0,0.0,0.4538450528398733,0.0339958578420966,0.16158384524110372,0.02338620258582622,0.001501470822522413
HOSI,2048,0.989668,0.980660644,1.0091849877479124,0.0010246255180604556,0.0002820964704401862,0.0,0.0,0.0016983210852214029,0.12320709905364978,0.3289249023358421,0.01302894048923615,0.03794617297916158,4.035428010507578e-05,0.0,0.0,0.0011354905440744902,0.10717215979250819,0.3296606072745752,0.009742900956710567,0.03682895473847526
HOSI-DT,2048,0.689469,0.6909065640000001,0.9979193076532993,0.0011302134702688973,8.004011390894818e-05,0.0,0.0,0.0012726644555977904,0.05553342810008821,0.24324390899334397,0.015605114857163229,0.0361006689985073,3.7085675230319556e-05,0.0,0.0,0.0009541605460127021,0.049366351643545824,0.2450848575591518,0.011425884680192441,0.03076483437725741
STHOSVD,2048,0.699362,1.146696432,0.6098928892455122,0.0,0.0,0.0,0.0,0.41657757971291914,0.00505070537381597,0.05626056125429019,0.0731275760313973,0.14834557762757739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
