Algorithms,ProcessorID,Total_Function,Total_Sum,Function/Sum,Factor_Matrix_Gen,CONTRACTION_matmul_Iter0,Core_Analysis_Iter_Iter0,Core_Gathering_Iter_Iter0,EigSVD_Iter0,TTM_Communication_Iter0,TTM_Computation_Iter0,GramLQ_Communication_Iter0,GramLQ_Computation_Iter0,CONTRACTION_matmul_Iter1,Core_Analysis_Iter_Iter1,Core_Gathering_Iter_Iter1,EigSVD_Iter1,TTM_Communication_Iter1,TTM_Computation_Iter1,GramLQ_Communication_Iter1,GramLQ_Computation_Iter1
HOOI,64,16.3533,16.961719185000003,0.9641298633491082,0.0003774105632677351,0.0,0.0,0.0,0.5012520800850646,2.786635707697615,4.87371442666376,0.016726854829580175,0.00298398481945508,0.0,0.0,0.0,0.5015413190440694,2.781940312347937,4.872822356830528,0.014493501028274451,0.0011894566537124281
HOOI-DT,64,5.81055,6.340506131000001,0.9164173774063652,0.00035616286447685163,0.0,0.0,0.0,0.4663739675358733,0.12543231182936615,2.2947932392243673,0.016834391109636162,0.001945829017446935,0.0,0.0,0.0,0.4725597848333663,0.12007288489895793,2.298060449541879,0.012783235212291603,0.0016939067968153028
HOSI,64,15.9413,16.016771823,0.9952879504163491,0.0003787737494260987,0.00013114511207456064,0.0,0.0,0.0009203049468078822,2.915112292465441,5.039018244090353,0.0035461024809468563,0.008758115942724697,5.750077075940373e-05,0.0,0.0,0.000743977742936221,2.9293668910907793,5.033858209541786,0.0026048497086465614,0.007182366106746029
HOSI-DT,64,5.3135,5.328852618,0.9971189636680622,0.0003855151078040192,8.995309306938691e-05,0.0,0.0,0.000896722046573216,0.13959388092857178,2.508557813676993,0.0036239700434327156,0.008213767463215662,4.76553066305877e-05,0.0,0.0,0.0005226369134497238,0.13495925304018233,2.5075558217929492,0.002599825167373394,0.006838700527558858
STHOSVD,64,6.28515,6.816495398000001,0.9220500613620453,0.0,0.0,0.0,0.0,0.4693114945824834,0.061360305336202604,1.247006481746509,0.4983438266905729,4.009127891644232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
