Algorithms,ProcessorID,Total_Function,Total_Sum,Function/Sum,Factor_Matrix_Gen,CONTRACTION_matmul_Iter0,Core_Analysis_Iter_Iter0,Core_Gathering_Iter_Iter0,EigSVD_Iter0,TTM_Communication_Iter0,TTM_Computation_Iter0,GramLQ_Communication_Iter0,GramLQ_Computation_Iter0,CONTRACTION_matmul_Iter1,Core_Analysis_Iter_Iter1,Core_Gathering_Iter_Iter1,EigSVD_Iter1,TTM_Communication_Iter1,TTM_Computation_Iter1,GramLQ_Communication_Iter1,GramLQ_Computation_Iter1
HOOI,16,19.9345,20.463624497,0.9741431681822752,0.0003460721536420987,0.0,0.0,0.0,0.4635168022844902,2.2768230810611025,7.323302675647605,0.013947954305374584,0.0021099687745604356,0.0,0.0,0.0,0.46192310406134396,2.2744245184763954,7.108118835388684,0.008854720785414341,0.001478339215026889
HOOI-DT,16,8.63658,9.117007011,0.9473043060710223,0.00037041208784697295,0.0,0.0,0.0,0.444186252595172,0.10340805255574242,3.7714399212681955,0.0134316676613533,0.002134259550100504,0.0,0.0,0.0,0.4496645133971807,0.10368557861446621,3.7333541219198016,0.01354892498835877,0.0017267074496297105
HOSI,16,19.285,19.286638376000003,0.9999150512407574,0.0003489153575552061,0.00014015809273241697,0.0,0.0,0.0006687971816825856,2.4012367645867037,7.198476884369514,0.0027810717313363287,0.00897345765114583,0.00010880075672550682,0.0,0.0,0.0004758595728854765,2.394096421201546,7.267880170145623,0.002655252420438704,0.007506362289664365
HOSI-DT,16,8.11248,8.122888477,0.9987186236731587,0.00038628139310843327,0.00011874764435473857,0.0,0.0,0.0005655893373654648,0.1149210010160478,3.926538713890635,0.003089737803494898,0.007705493694715415,8.809597107558567e-05,0.0,0.0,0.00045359502834400417,0.110588675477914,3.9388572849132224,0.002722758645226196,0.00683030657760439
STHOSVD,16,17.1752,18.177796198,0.9448450083233793,0.0,0.0,0.0,0.0,0.4551318405093718,0.0526865635700643,1.7294723112756951,1.2300296936384434,13.707879591006426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
