nprocs,HOOI_totals,HOOI_grids,HOOI_DT_totals,HOOI_DT_grids,HOSI_totals,HOSI_grids,HOSI_DT_totals,HOSI_DT_grids,STHOSVD_totals,STHOSVD_grids
1,328.767,1x1x1x1,125.779,1x1x1x1,294.24,1x1x1x1,204.424,1x1x1x1,259.618,1x1x1x1
2,110.718,1x1x2x1,61.3945,1x1x2x1,140.933,1x1x2x1,78.1116,1x2x1x1,129.036,1x1x2x1
4,61.8593,1x2x2x1,29.6494,1x2x2x1,59.1828,1x2x2x1,29.4582,1x2x2x1,66.3276,1x2x2x1
8,34.7546,1x4x2x1,15.3968,1x4x2x1,34.5596,1x4x2x1,15.3292,1x4x2x1,32.9166,1x4x2x1
16,19.9345,1x4x4x1,8.63658,1x4x4x1,19.285,1x4x4x1,8.11248,1x4x4x1,17.1752,1x4x4x1
32,18.7618,1x8x4x1,6.1628,1x8x4x1,18.4335,1x8x4x1,5.64064,1x8x4x1,10.3036,1x8x4x1
64,16.3533,1x8x8x1,5.81055,1x8x8x1,15.9413,1x8x8x1,5.3135,1x8x8x1,6.28515,1x8x8x1
128,21.4197,1x16x8x1,7.43998,1x16x8x1,20.7009,1x16x8x1,6.86462,1x16x8x1,4.9941,1x16x8x1
256,5.75028,1x1x16x16,4.11059,1x16x16x1,4.95625,1x1x16x16,3.53078,1x16x16x1,2.51139,1x1x16x16
512,3.34495,1x1x16x32,2.63801,1x8x8x8,2.63269,1x1x16x32,2.03642,1x8x8x8,1.51167,1x1x16x32
1024,2.39943,1x1x32x32,1.82806,1x32x32x1,1.6831,1x1x32x32,1.24636,1x32x32x1,0.978316,1x1x32x32
2048,1.61482,1x1x32x64,1.35719,1x64x32x1,0.989668,1x1x32x64,0.689469,1x64x32x1,0.699362,1x1x32x64
4096,1.26765,1x1x64x64,1.12673,1x64x64x1,0.64699,1x1x64x64,0.499593,1x64x64x1,0.5663,1x1x64x64
