Algorithms,ProcessorID,Total_Function,Total_Sum,Function/Sum,Factor_Matrix_Gen,CONTRACTION_matmul_Iter0,Core_Analysis_Iter_Iter0,Core_Gathering_Iter_Iter0,EigSVD_Iter0,TTM_Communication_Iter0,TTM_Computation_Iter0,GramLQ_Communication_Iter0,GramLQ_Computation_Iter0,CONTRACTION_matmul_Iter1,Core_Analysis_Iter_Iter1,Core_Gathering_Iter_Iter1,EigSVD_Iter1,TTM_Communication_Iter1,TTM_Computation_Iter1,GramLQ_Communication_Iter1,GramLQ_Computation_Iter1
HOOI,4096,1.26765,1.8192093809999996,0.6968136890890407,0.00038760888587898075,0.0,0.0,0.0,0.4385285462091623,0.05389593973597699,0.12610039436356668,0.03158144015853666,0.0033439329412461955,0.0,0.0,0.0,0.4276136565832716,0.036945194190101865,0.12300220322198308,0.025045268525717878,0.001593424070436893
HOOI-DT,4096,1.12673,1.768879887,0.6369737189509918,0.00033596032253375947,0.0,0.0,0.0,0.42351427112473017,0.023163453743594974,0.08585310200360145,0.033155864304369245,0.0035275489900236513,0.0,0.0,0.0,0.4186891952036764,0.02152503631344642,0.08445872958834202,0.031512496951450725,0.0013303017767650157
HOSI,4096,0.64699,0.5790398889999999,1.1173496201053603,0.0006247347542925493,0.00032029497270092213,0.0,0.0,0.0018371227810352112,0.08762366450213588,0.199573137527439,0.01367106423023993,0.043940019627559716,6.212128682899772e-05,0.0,0.0,0.0008007374317523054,0.05280863585876378,0.20018477470948465,0.01011592366827426,0.036052503403785366
HOSI-DT,4096,0.499593,0.45741787800000006,1.092202609535957,0.0006043856048232552,0.00018031172880829114,0.0,0.0,0.003236719497105008,0.04292342821384214,0.14610387099225275,0.01644096847724653,0.04948868322042279,3.8311190934692766e-05,0.0,0.0,0.0008040009225524848,0.03472902850404111,0.14545683705993231,0.010640600433365658,0.04955023975949624
STHOSVD,4096,0.5663,0.985254029,0.5747756246932333,0.0,0.0,0.0,0.0,0.38908516272608923,0.004516854704280534,0.029030205121444875,0.059389888104278934,0.08427788934390647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
