Algorithms,ProcessorID,Total_Function,Total_Sum,Function/Sum,Factor_Matrix_Gen,CONTRACTION_matmul_Iter0,Core_Analysis_Iter_Iter0,Core_Gathering_Iter_Iter0,EigSVD_Iter0,TTM_Communication_Iter0,TTM_Computation_Iter0,GramLQ_Communication_Iter0,GramLQ_Computation_Iter0,CONTRACTION_matmul_Iter1,Core_Analysis_Iter_Iter1,Core_Gathering_Iter_Iter1,EigSVD_Iter1,TTM_Communication_Iter1,TTM_Computation_Iter1,GramLQ_Communication_Iter1,GramLQ_Computation_Iter1
HOOI,1024,2.39943,3.1298888209999998,0.7666182849374765,0.00046213973409057406,0.0,0.0,0.0,0.4873108788582111,0.1460753960961542,0.47498395888402084,0.03220015359610437,0.0040220505660319116,0.0,0.0,0.0,0.6071386831219332,0.14372383513787762,0.47356843195208825,0.028826770958926023,0.0015798408286528721
HOOI-DT,1024,1.82806,2.4874167760000003,0.7349230806988816,0.00040753322132454736,0.0,0.0,0.0,0.46088937190636686,0.10031550568185117,0.3237175354610055,0.0317742604935539,0.0031978840296604956,0.0,0.0,0.0,0.4604844292889017,0.09687813300280643,0.3240488439302461,0.02510604762914086,0.001647988576466849
HOSI,1024,1.6831,1.709517997,0.9845465230279176,0.003993665288684294,0.00027530086786211233,0.0,0.0,0.0009549441627200371,0.1895793439270824,0.6145752757817267,0.012113603452692988,0.02931952962821017,3.155570060956779e-05,0.0,0.0,0.0006633648026461812,0.1826618166789033,0.6099089899685332,0.011354026794723472,0.03166224823428987
HOSI-DT,1024,1.24636,1.275601711,0.9770761431661328,0.0005063189032364037,8.836188100722921e-05,0.0,0.0,0.0019578632215240103,0.1383176678603875,0.4363083823215725,0.018780416699613535,0.040101784396556046,3.810987788805184e-05,0.0,0.0,0.0007982458049870082,0.13697543295854045,0.4333508617501376,0.011890920908869805,0.02775195231891626
STHOSVD,1024,0.978316,1.508522227,0.6485260757115778,0.0,0.0,0.0,0.0,0.4716957132776805,0.011056983717867352,0.11381238389736766,0.09646046366687575,0.28529045544020876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
