Algorithms,ProcessorID,Total_Function,Total_Sum,Function/Sum,Factor_Matrix_Gen,CONTRACTION_matmul_Iter0,Core_Analysis_Iter_Iter0,Core_Gathering_Iter_Iter0,TTM_Communication_Iter0,TTM_Computation_Iter0,LLSV_Communication_Iter0,LLSV_Computation_Iter0,CONTRACTION_matmul_Iter1,Core_Analysis_Iter_Iter1,Core_Gathering_Iter_Iter1,TTM_Communication_Iter1,TTM_Computation_Iter1,LLSV_Communication_Iter1,LLSV_Computation_Iter1
HOOI,16,208.046,364.83670980500005,0.5702441514484592,0.003923313976614487,0.0,0.0,0.0,5.989251090916437,11.107003233255483,0.6897048838574725,85.81472229329243,0.0,0.0,0.0,6.131035022858724,11.058541191432022,0.693232889191711,86.56250939519569
HOOI-DT,16,191.02,341.71662868299995,0.5590011839230786,0.003926614376278238,0.0,0.0,0.0,0.11607760204375833,10.602567986095211,0.6058657525187616,83.90839543756287,0.0,0.0,0.0,0.11373633738513331,10.608584775773329,0.6232476271302839,84.44152448149069
HOSI-DT,16,39.0309,38.948906686,1.0021051505928271,0.0070283646841978525,0.0019284641791677943,0.0,0.0,0.2072141937091831,19.292090757931735,0.015256348442065226,0.003661161104536376,0.0017884400264754584,0.0,0.0,0.20973102588962875,19.28211905308974,0.013638261280664796,0.003472294346804146
STHOSVD,16,200.827,281.26150712500004,0.7140223418867878,0.0,,0.0,0.0,0.08121747090919132,5.28737701562252,4.808450653280982,190.64995486018728,,0.0,0.0,0.0,0.0,0.0,0.0
