Algorithms,ProcessorID,Total_Function,Total_Sum,Function/Sum,Factor_Matrix_Gen,CONTRACTION_matmul_Iter0,Core_Analysis_Iter_Iter0,Core_Gathering_Iter_Iter0,EigSVD_Iter0,TTM_Communication_Iter0,TTM_Computation_Iter0,GramLQ_Communication_Iter0,GramLQ_Computation_Iter0,CONTRACTION_matmul_Iter1,Core_Analysis_Iter_Iter1,Core_Gathering_Iter_Iter1,EigSVD_Iter1,TTM_Communication_Iter1,TTM_Computation_Iter1,GramLQ_Communication_Iter1,GramLQ_Computation_Iter1
HOOI,2048,224.12,446.7055309,0.5017175398487997,0.002746196108940992,0.0,0.0,0.0,111.05101318995108,0.16680432563733005,0.1373650716409341,0.7903604745723106,0.12944442974659395,0.0,0.0,0.0,110.61928524691119,0.16562363625939155,0.14389004621899118,0.7870243730281066,0.12918920603407286
HOOI-DT,2048,223.565,446.18226252399995,0.5010620519411045,0.0035075546184801976,0.0,0.0,0.0,110.41919470487679,0.14623617142705295,0.07217439446401754,0.7806752344981079,0.12922896392233546,0.0,0.0,0.0,110.85246306119026,0.14400535298064182,0.07181186705032121,0.8214185821641576,0.1277916674263424
HOSI,2048,1.33272,1.4649159470000002,0.9097586811921023,0.0062141157694694665,0.0007012256158066111,0.0,0.0,0.007953410611346152,0.3257219040910338,0.26028755097567374,0.03755429341415996,0.05090909506496073,0.0007185929090305684,0.0,0.0,0.006964584803171644,0.3006990898187826,0.2568345810061414,0.03407456835157245,0.05030110333832005
HOSI-DT,2048,0.615914,0.7883899570000001,0.7812301444626341,0.00543095571827534,0.0005127143127395266,0.0,0.0,0.013824976753071446,0.058017914494631236,0.1636475509336631,0.04412388637155101,0.04543603270988901,0.0003974289615513201,0.0,0.0,0.01870692298732567,0.03906736254306445,0.14918578645876884,0.04192501413250245,0.041068409341241764
STHOSVD,2048,113.51,225.273587082,0.5038762043536074,0.0,0.0,0.0,0.0,111.65352502175237,0.009845044172278867,0.04696205786628287,0.851498173627595,0.9481697025814663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
