Algorithms,ProcessorID,Total_Function,Total_Sum,Function/Sum,Factor_Matrix_Gen,CONTRACTION_matmul_Iter0,Core_Analysis_Iter_Iter0,Core_Gathering_Iter_Iter0,EigSVD_Iter0,TTM_Communication_Iter0,TTM_Computation_Iter0,GramLQ_Communication_Iter0,GramLQ_Computation_Iter0,CONTRACTION_matmul_Iter1,Core_Analysis_Iter_Iter1,Core_Gathering_Iter_Iter1,EigSVD_Iter1,TTM_Communication_Iter1,TTM_Computation_Iter1,GramLQ_Communication_Iter1,GramLQ_Computation_Iter1
HOOI,256,231.67,457.119496247,0.5068040236787875,0.0026002036558461505,0.0,0.0,0.0,113.42760581793996,0.4632003944996682,1.0594391714454867,0.8010678939531082,0.12397090332454161,0.0,0.0,0.0,113.3301980845889,0.4523799111752,1.0879845467279257,0.8017402885894636,0.12241298775575303
HOOI-DT,256,228.591,453.91089178199996,0.5036032493130513,0.0033507040751744144,0.0,0.0,0.0,112.7421630269621,0.058592878328800384,0.6673360591846368,0.7532502412088088,0.13207262122956906,0.0,0.0,0.0,112.63957904507706,0.04919836115416513,0.6621905221937692,0.7550178594049093,0.13159938525618958
HOSI,256,5.86687,6.164676915,0.9516913993861752,0.004852141498286451,0.0006769352373091883,0.0,0.0,0.006987698930853053,0.877764702409813,1.9819549346335092,0.03105513122274957,0.04618778201934367,0.0007608268341650796,0.0,0.0,0.009048976849697563,0.8512284322606677,1.9736822971877868,0.027474837724133998,0.06004744468997041
HOSI-DT,256,2.87222,3.038350311,0.9453221998798018,0.0063578495342895966,0.0010775255095329922,0.0,0.0,0.0074785668151350956,0.11508462118711893,1.2427898381181168,0.04055163387850704,0.05029727617468267,0.0008653460511255708,0.0,0.0,0.00662978091830702,0.07879137644112164,1.2553705735362193,0.03352992143080766,0.039753539939325316
STHOSVD,256,126.559,240.08068434,0.5271519462214141,0.0,0.0,0.0,0.0,118.12821446408577,0.005944645581015673,0.39008702477190293,1.1483305101191965,6.886423355442106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
