Algorithms,ProcessorID,Total_Function,Total_Sum,Function/Sum,Factor_Matrix_Gen,CONTRACTION_matmul_Iter0,Core_Analysis_Iter_Iter0,Core_Gathering_Iter_Iter0,EigSVD_Iter0,TTM_Communication_Iter0,TTM_Computation_Iter0,GramLQ_Communication_Iter0,GramLQ_Computation_Iter0,CONTRACTION_matmul_Iter1,Core_Analysis_Iter_Iter1,Core_Gathering_Iter_Iter1,EigSVD_Iter1,TTM_Communication_Iter1,TTM_Computation_Iter1,GramLQ_Communication_Iter1,GramLQ_Computation_Iter1
HOOI,8192,227.888,455.022422899,0.5008280658964,0.0032898644406635677,0.0,0.0,0.0,112.51638386393137,0.176442390711661,0.031930174644973365,0.815803921445999,0.16150808642920947,0.0,0.0,0.0,113.06323802908365,0.18006970158408003,0.032611378442942686,0.7798482911385768,0.130164162587536
HOOI-DT,8192,227.43,454.22649162499994,0.5006973485548296,0.0049349882277465685,0.0,0.0,0.0,112.84766911463605,0.04094264956510616,0.019985564487649012,0.7763504356706069,0.1297597735265074,0.0,0.0,0.0,112.66226088646619,0.038736522972059935,0.01898887684631312,0.7680389237738573,0.12726725205566658
HOSI,8192,0.967102,1.035631696,0.933828120301177,0.006724281513821106,0.0007524973759010945,0.0,0.0,0.04375688850013722,0.21236680212672826,0.0584935068012982,0.052168640383436084,0.07711197762761406,0.0006694081512410566,0.0,0.0,0.017969150251770587,0.223008129346074,0.05951760901981702,0.06717596144925059,0.15411142896673183
HOSI-DT,8192,0.66361,0.693525295,0.9568648826283979,0.007004404039221093,0.0009781675655103539,0.0,0.0,0.015434708989237371,0.10472306854367872,0.041360913227079917,0.05724370768787893,0.08087364576082261,0.000853028776160212,0.0,0.0,0.017071560332056812,0.10879873691101635,0.040780050313810115,0.06881766303301165,0.12667474885973698
STHOSVD,8192,113.877,227.091724337,0.5014581677622413,0.0,0.0,0.0,0.0,112.44938653821025,0.09151064721528959,0.012253860953820797,0.9809122934553861,0.342936660165257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
