Algorithms,ProcessorID,Total_Function,Total_Sum,Function/Sum,Factor_Matrix_Gen,CONTRACTION_matmul_Iter0,Core_Analysis_Iter_Iter0,Core_Gathering_Iter_Iter0,EigSVD_Iter0,TTM_Communication_Iter0,TTM_Computation_Iter0,GramLQ_Communication_Iter0,GramLQ_Computation_Iter0,CONTRACTION_matmul_Iter1,Core_Analysis_Iter_Iter1,Core_Gathering_Iter_Iter1,EigSVD_Iter1,TTM_Communication_Iter1,TTM_Computation_Iter1,GramLQ_Communication_Iter1,GramLQ_Computation_Iter1
HOOI,512,230.864,458.00807259600003,0.5040609845399835,0.00450646146069266,0.0,0.0,0.0,113.39350867601624,0.48608116904226006,0.48062174500602567,0.7803200647563812,0.121933461094388,0.0,0.0,0.0,113.69831435336755,0.4932645078567924,0.4662024615563704,0.8170350492833565,0.12671851202062606
HOOI-DT,512,228.948,455.8362141940001,0.5022593485794475,0.0034807979182731735,0.0,0.0,0.0,113.15305434870145,0.0478959537398847,0.35902033996506044,0.7500381709963405,0.1315093778909088,0.0,0.0,0.0,113.23798640454622,0.04000053723208549,0.3491877573666878,0.747160866816428,0.13214624274490752
HOSI,512,3.29077,3.539218881,0.9298012105626535,0.00498280468740526,0.0009337668127257033,0.0,0.0,0.006853862259444699,0.5701880065883612,0.9822248068140039,0.05185333615169533,0.05253246667509514,0.0007570041641880584,0.0,0.0,0.00581533009531885,0.5335265455074576,0.984462232097439,0.04956743382254521,0.05205520901172543
HOSI-DT,512,1.64443,1.7622042990000002,0.9331664897952902,0.005499635370938338,0.0009709625321314687,0.0,0.0,0.008861647600372809,0.09184232991063654,0.669012524514083,0.030045196932265567,0.04108327060312091,0.0011574185284574658,0.0,0.0,0.005492627290599976,0.07105698884860114,0.6634310579073216,0.02587760540135307,0.035598369931056445
STHOSVD,512,120.345,234.190088858,0.5138774257563504,0.0,0.0,0.0,0.0,115.80654307682734,0.0037192582701189147,0.19268895698108232,0.9325254312803505,3.4095232766411065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
