Algorithms,ProcessorID,Total_Function,Total_Sum,Function/Sum,Factor_Matrix_Gen,CONTRACTION_matmul_Iter0,Core_Analysis_Iter_Iter0,Core_Gathering_Iter_Iter0,EigSVD_Iter0,TTM_Communication_Iter0,TTM_Computation_Iter0,GramLQ_Communication_Iter0,GramLQ_Computation_Iter0,CONTRACTION_matmul_Iter1,Core_Analysis_Iter_Iter1,Core_Gathering_Iter_Iter1,EigSVD_Iter1,TTM_Communication_Iter1,TTM_Computation_Iter1,GramLQ_Communication_Iter1,GramLQ_Computation_Iter1
HOOI,1,1182.53,1180.904938045,1.0013761158097028,0.0003493741185493104,0.0,0.0,0.0,0.9502278265663748,0.0,580.8723692294168,0.0019707742867371386,0.01680078805822045,0.0,0.0,0.0,0.9419995190227665,0.0,599.7282998853926,0.001980586771295958,0.016351390484967372
HOOI-DT,1,574.162,573.8083718209999,1.0006162827110345,0.00035139542554617843,0.0,0.0,0.0,0.9469642382483516,0.0,291.3294175382043,0.002009129429125224,0.016979948003302072,0.0,0.0,0.0,0.9584483113250261,0.0,280.8913241687164,0.0010369026315872676,0.01581976344198711
HOSI,1,1187.11,1184.5142632299999,1.0021913934264681,0.00035059360858820106,0.0012431873556123375,0.0,0.0,0.003712072824830327,0.0,593.1583778072303,8.720067314203699e-05,0.003341569682020316,0.0012107043281685988,0.0,0.0,0.00022333935421648185,0.0,593.9385136455978,6.514644933829414e-05,0.0032253265044881736
HOSI-DT,1,574.177,572.8828111920002,1.0022590812339212,0.0003548538367471947,0.001157734521210333,0.0,0.0,0.0003580871245432553,0.0,291.10399775192286,8.20719893850021e-05,0.0030363128165666457,0.0011738618720864684,0.0,0.0,0.0001606932007533158,0.0,283.0640366597369,4.6033759601074e-05,0.0029507930559421994
STHOSVD,1,844.375,844.595829581,0.9997385381584117,0.0,0.0,0.0,0.0,1.0995984217809027,0.0,155.53994270429175,0.001812856883137331,687.7336460170442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
