Algorithms,ProcessorID,Total_Function,Total_Sum,Function/Sum,Factor_Matrix_Gen,CONTRACTION_matmul_Iter0,Core_Analysis_Iter_Iter0,Core_Gathering_Iter_Iter0,EigSVD_Iter0,TTM_Communication_Iter0,TTM_Computation_Iter0,GramLQ_Communication_Iter0,GramLQ_Computation_Iter0,CONTRACTION_matmul_Iter1,Core_Analysis_Iter_Iter1,Core_Gathering_Iter_Iter1,EigSVD_Iter1,TTM_Communication_Iter1,TTM_Computation_Iter1,GramLQ_Communication_Iter1,GramLQ_Computation_Iter1
HOOI,64,26.7381,29.134722664999998,0.9177399870059824,0.0002998935665138929,0.0,0.0,0.0,0.9835419440743112,4.479658314321301,7.844759481360757,0.016142309426225666,0.005273216494618038,0.0,0.0,0.0,0.9654294276907611,4.614022094691962,7.813124918849122,0.01508600538502157,0.0010622877059193725
HOOI-DT,64,8.80813,9.867363992,0.8926527902630553,0.00029507530634935555,0.0,0.0,0.0,0.9383173364017522,0.12524182515555468,3.3287494601557874,0.01585266821287949,0.0014660063554073864,0.0,0.0,0.0,0.9253890460403723,0.12490742224522472,3.332702114213934,0.013908465079769807,0.001595656139317983
HOSI,64,25.7326,26.929455071,0.9555559119987959,0.00031702669603566447,7.589311719868037e-05,0.0,0.0,0.009002589424829288,4.826527874555943,8.164126828797746,0.002795995776300869,0.007358573633797687,5.108688572319162e-05,0.0,0.0,0.000530847620239987,4.575338386501219,8.139257192365273,0.0022393366797659703,0.0052953946419646075
HOSI-DT,64,7.71951,7.741141485,0.9972056466036804,0.0003318550811050058,0.00011955598217696183,0.0,0.0,0.0007171833205978407,0.14224124689820597,3.7088585740034783,0.002973746017418256,0.006402688490752989,5.30244158468575e-05,0.0,0.0,0.000495364896567318,0.14008825697145874,3.7090537460954254,0.002449934832575922,0.006056678075494443
STHOSVD,64,14.3062,15.409924162,0.928375756402376,0.0,0.0,0.0,0.0,0.9834887831812031,0.06721483367313148,2.0978575964310706,0.8843315588082256,10.273307227906368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
