Algorithms,ProcessorID,Total_Function,Total_Sum,Function/Sum,Factor_Matrix_Gen,CONTRACTION_matmul_Iter0,Core_Analysis_Iter_Iter0,Core_Gathering_Iter_Iter0,EigSVD_Iter0,TTM_Communication_Iter0,TTM_Computation_Iter0,GramLQ_Communication_Iter0,GramLQ_Computation_Iter0,CONTRACTION_matmul_Iter1,Core_Analysis_Iter_Iter1,Core_Gathering_Iter_Iter1,EigSVD_Iter1,TTM_Communication_Iter1,TTM_Computation_Iter1,GramLQ_Communication_Iter1,GramLQ_Computation_Iter1
HOOI,128,49.4045,55.792567154000004,0.8855032582320955,0.00035884576788226553,0.0,0.0,0.0,1.0672085268213216,16.938913655145527,6.8535167580488165,0.02374431472081891,0.0030076977104013607,0.0,0.0,0.0,1.0329731998515523,16.61874426455599,6.841064560634134,0.022413152726273988,0.002913869785159088
HOOI-DT,128,9.20624,10.466292243,0.8796085362662465,0.0003802178266693752,0.0,0.0,0.0,1.043469051270213,0.16175948205424096,3.351833298506744,0.022117410958260014,0.002646320753136264,0.0,0.0,0.0,1.08825871793689,0.16138330163075304,3.353510861518855,0.0186848116529895,0.0025767437179176037
HOSI,128,48.8654,54.10826822200001,0.9031041207881738,0.00034436263229773855,0.006900213093192202,0.0,0.0,0.014842462038906388,17.681228735294454,6.990912494793446,0.007985111170390916,0.04284659194439667,5.323166619161733e-05,0.0,0.0,0.01843502106865119,17.00190833469868,7.048505293230243,0.00457700573869237,0.04720550526275167
HOSI-DT,128,8.0042,8.056951639,0.99345265537593,0.00037861275458500994,8.332385456434538e-05,0.0,0.0,0.007904519306101301,0.18502139842373705,3.7946176260203317,0.0049459576912324575,0.010918263242165653,6.234014757749497e-05,0.0,0.0,0.0005222054079403914,0.18487938933391432,3.800804828295508,0.004053094104118651,0.010387054172809591
STHOSVD,128,11.0761,12.303056276,0.9002722373632098,0.0,0.0,0.0,0.0,1.0935192742021722,0.11858903747139131,2.1428245142240705,0.8160258867310575,6.905141287371309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
