nprocs,HOOI_totals,HOOI_grids,HOOI_DT_totals,HOOI_DT_grids,HOSI_totals,HOSI_grids,HOSI_DT_totals,HOSI_DT_grids,STHOSVD_totals,STHOSVD_grids
1,1182.53,1x1x1x1,574.162,1x1x1x1,1187.11,1x1x1x1,574.177,1x1x1x1,844.375,1x1x1x1
2,538.185,1x2x1x1,201.168,1x2x1x1,543.488,1x2x1x1,221.684,1x2x1x1,408.323,1x2x1x1
4,176.494,1x2x2x1,70.4675,1x2x2x1,180.34,1x2x2x1,69.0558,1x2x2x1,182.457,1x2x2x1
8,72.6699,1x4x2x1,28.0146,1x4x2x1,71.8697,1x4x2x1,27.2674,1x4x2x1,83.7511,1x4x2x1
16,39.0374,1x4x4x1,15.2871,1x4x4x1,38.0374,1x4x4x1,14.3655,1x4x4x1,42.8023,1x4x4x1
32,31.9062,1x8x4x1,10.1116,1x8x4x1,30.7473,1x8x4x1,9.03616,1x8x4x1,24.5814,1x8x4x1
64,26.7381,1x8x8x1,8.80813,1x8x8x1,25.7326,1x8x8x1,7.71951,1x8x8x1,14.3062,1x8x8x1
128,49.4045,8x4x4x1,9.20624,1x16x8x1,48.8654,8x4x4x1,8.0042,1x16x8x1,11.0761,1x16x8x1
256,20.0133,1x16x16x1,5.26966,1x16x16x1,18.8391,1x16x16x1,4.09211,1x16x16x1,5.76888,1x16x16x1
512,5.73383,1x1x16x32,3.58245,1x32x16x1,4.49984,1x1x16x32,2.39503,1x32x16x1,3.20699,1x1x16x32
1024,3.80339,1x1x32x32,2.40246,2x16x16x2,2.64968,1x1x32x32,1.23218,2x16x16x2,1.9652,1x1x32x32
2048,2.61107,1x1x32x64,1.92709,2x16x32x2,1.45191,1x1x32x64,0.711885,2x16x32x2,1.31499,1x8x16x16
4096,2.05429,1x1x64x64,1.76789,1x64x64x1,0.889925,1x1x64x64,0.604649,1x64x64x1,1.01476,1x1x64x64
8192,1.88043,1x1x64x128,1.65925,2x32x64x2,0.749632,1x1x64x128,0.602056,2x32x64x2,0.901253,1x1x64x128
