Algorithms,ProcessorID,Total_Function,Total_Sum,Function/Sum,Factor_Matrix_Gen,CONTRACTION_matmul_Iter0,Core_Analysis_Iter_Iter0,Core_Gathering_Iter_Iter0,EigSVD_Iter0,TTM_Communication_Iter0,TTM_Computation_Iter0,GramLQ_Communication_Iter0,GramLQ_Computation_Iter0,CONTRACTION_matmul_Iter1,Core_Analysis_Iter_Iter1,Core_Gathering_Iter_Iter1,EigSVD_Iter1,TTM_Communication_Iter1,TTM_Computation_Iter1,GramLQ_Communication_Iter1,GramLQ_Computation_Iter1
HOOI,2048,2.61107,3.7920913720000002,0.6885567207793535,0.0003049720999839873,0.0,0.0,0.0,0.8117925369942798,0.07494189034579253,0.38761657140018135,0.029971726920028436,0.0021185320389057326,0.0,0.0,0.0,0.8134912064244425,0.07011659570420287,0.3939081985318679,0.02517817887460703,0.0019345627656911846
HOOI-DT,2048,1.92709,3.1308854179999996,0.6155095900095313,0.0008381763392913794,0.0,0.0,0.0,0.7260298764820527,0.0856511212819734,0.12391287650712743,0.026537286043874,0.0011913618971347486,0.0,0.0,0.0,0.7273070588813225,0.0808410935648492,0.12846781612282562,0.026227277868260207,0.000924231350580202
HOSI,2048,1.45191,1.4379930120000002,1.00967806372066,0.0004475448501345011,0.00025506386277904936,0.0,0.0,0.000884680929110106,0.1119889573733895,0.5668064711460016,0.010429720969040423,0.036268070210413506,4.000142552848511e-05,0.0,0.0,0.0009772976882171385,0.1050822828494941,0.5769704054712262,0.008322040223940948,0.033885007850858725
HOSI-DT,2048,0.711885,0.7596692969999999,0.9370985543463396,0.0003761288693493164,3.533048969596569e-05,0.0,0.0,0.0008309796398550513,0.12484113903747779,0.18829426465480154,0.01327183819885247,0.02815048742749176,2.5848926523089432e-05,0.0,0.0,0.0006099171537861954,0.11956747729520917,0.19284474776361143,0.011660593755805037,0.03175237565689061
STHOSVD,2048,1.31499,2.066649287,0.6362908347690055,0.0,0.0,0.0,0.0,0.7814955847174664,0.0124043441132206,0.09699944793224126,0.10432104486373359,0.3197695783733382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
