CoreSize,CompressionRatio,HOOI_Time,HOOI_DT_Time,HOSI_Time,HOSI_DT_Time,STHOSVD_Time,HOOI_retaive_to_STHOSVD,HOOI_DT_retaive_to_STHOSVD,HOSI_retaive_to_STHOSVD,HOSI_DT_retaive_to_STHOSVD,STHOSVD_retaive_to_STHOSVD
20,28,1289.48,660.979,1384.22,660.823,887.064,1.45364934209933,0.7451311292082646,1.5604511061208661,0.7449552681655439,1.0
16,35,1234.26,552.582,1226.94,594.549,890.942,1.3853427046878473,0.6202221917925073,1.3771266816470658,0.6673262681521356,1.0
14,40,1277.98,627.265,1274.75,626.653,886.416,1.4417384162740745,0.707641784444324,1.4380945289796212,0.7069513636937961,1.0
10,56,1170.15,555.153,1167.22,562.823,847.346,1.3809588999062958,0.6551668385759772,1.3775010444375733,0.6642186308780592,1.0
8,70,995.166,390.402,915.499,492.612,829.687,1.1994475024919036,0.47054130051453136,1.103426954984229,0.593732335205927,1.0
7,80,1230.5,621.14,1291.81,600.028,847.467,1.4519739411682107,0.7329370937157434,1.5243189410325122,0.7080252092411858,1.0
5,112,1057.0,482.769,1087.51,471.755,831.614,1.2710223733607178,0.5805205299574081,1.3077100674110824,0.5672764046781319,1.0
4,140,929.567,390.898,920.819,436.259,825.133,1.1265662626509907,0.47373938504459284,1.1159643354465278,0.5287135528454201,1.0
2,280,953.68,470.381,956.829,469.063,809.751,1.1777447635137221,0.5808958556395731,1.181633613295939,0.5792681947907443,1.0
