CoreSize,CompressionRatio,HOOI_Time,HOOI_DT_Time,HOSI_Time,HOSI_DT_Time,STHOSVD_Time,HOOI_retaive_to_STHOSVD,HOOI_DT_retaive_to_STHOSVD,HOSI_retaive_to_STHOSVD,HOSI_DT_retaive_to_STHOSVD,STHOSVD_retaive_to_STHOSVD
6,25,1784.59,598.849,1814.54,662.751,536.282,3.327708183381131,1.116668096262787,3.3835556666082396,1.2358255544657473,1.0
5,30,1737.11,594.991,1821.55,647.402,526.629,3.29854603525442,1.1298105497418485,3.4588866165744765,1.2293322243932636,1.0
3,50,1601.99,565.715,1616.69,577.511,512.035,3.128672844629762,1.1048365834366793,3.157381819602176,1.1278740711084203,1.0
2,75,1392.27,523.778,1397.97,522.988,474.371,2.934981269934292,1.1041526568866984,2.9469971815309117,1.1024872937005004,1.0
