Algorithms,ProcessorID,Total_Function,Total_Sum,Function/Sum,Factor_Matrix_Gen,Core_Analysis_Iter_Iter0,Core_Gathering_Iter_Iter0,TTM_Communication_Iter0,TTM_Computation_Iter0,LLSV_Communication_Iter0,LLSV_Computation_Iter0,Core_Analysis_Iter_Iter1,Core_Gathering_Iter_Iter1,TTM_Communication_Iter1,TTM_Computation_Iter1,LLSV_Communication_Iter1,LLSV_Computation_Iter1
HOOI,32,45.5582,45.663737101,0.9976888203265849,0.0004674042423683408,0.0,0.0,8.177570135025823,14.387595931618716,0.027151792959342527,0.3415054900581121,0.0,0.0,7.983940482621338,14.283162630868734,0.02336988088572869,0.3339036559622076
HOOI-DT,32,24.0491,24.219543727999998,0.9929625541292526,0.00047660117376840456,0.0,0.0,0.4220864422527118,11.234619042464074,0.027344318992230193,0.3077606946978981,0.0,0.0,0.42958769942383945,11.2934499081449,0.021601776244762623,0.3126501177795847
STHOSVD,32,14.2416,15.007858109000003,0.9489428735643171,0.0,0.0,0.0,0.24504354918405097,3.641117407024493,1.7692611714582138,8.586177872333241,0.0,0.0,0.0,0.0,0.0,0.0
