Algorithms,ProcessorID,Total_Function,Total_Sum,Function/Sum,Factor_Matrix_Gen,Core_Analysis_Iter_Iter0,Core_Gathering_Iter_Iter0,TTM_Communication_Iter0,TTM_Computation_Iter0,LLSV_Communication_Iter0,LLSV_Computation_Iter0,Core_Analysis_Iter_Iter1,Core_Gathering_Iter_Iter1,TTM_Communication_Iter1,TTM_Computation_Iter1,LLSV_Communication_Iter1,LLSV_Computation_Iter1
HOOI,128,40.8011,42.605662875,0.9576449994383522,0.002148323333040033,0.0,0.0,9.98988060550235,10.206506388589595,0.06080975455290578,0.8159354887448632,0.0,0.0,9.218914871416164,9.643899459876764,0.05667612971037011,0.8084773016069874
HOOI-DT,128,17.1722,17.383124324,0.9878661441942984,0.0022532831602614265,0.0,0.0,0.32068399032176187,7.3880621428207185,0.05956426836506355,0.8177949902658707,0.0,0.0,0.34158146780676496,7.351419839374728,0.053666521765388484,0.8394267792797039
STHOSVD,128,11.2283,12.038561076,0.932694524629249,0.0,0.0,0.0,0.1922462958956873,2.479488821826184,1.1927087631421343,7.363856119135995,0.0,0.0,0.0,0.0,0.0,0.0
