Algorithms,ProcessorID,Total_Function,Total_Sum,Function/Sum,Factor_Matrix_Gen,Core_Analysis_Iter_Iter0,Core_Gathering_Iter_Iter0,TTM_Communication_Iter0,TTM_Computation_Iter0,LLSV_Communication_Iter0,LLSV_Computation_Iter0,Core_Analysis_Iter_Iter1,Core_Gathering_Iter_Iter1,TTM_Communication_Iter1,TTM_Computation_Iter1,LLSV_Communication_Iter1,LLSV_Computation_Iter1
HOOI,512,3.60695,3.609451519,0.9993069531515156,0.0005635711479132351,0.0,0.0,0.13478231076157585,1.1775488574900015,0.05763763571485444,0.4901265547579862,0.0,0.0,0.1153475093307383,1.16445485554038,0.03855219499275951,0.42850008141170437
HOOI-DT,512,3.08093,3.1090339150000004,0.9909605633877427,0.0005670246614887763,0.0,0.0,0.18861093317551023,0.8472701520014778,0.05907249797126448,0.4659993089839452,0.0,0.0,0.19225520848465877,0.8385925838530068,0.05199964181111545,0.4371296737190208
STHOSVD,512,1.66406,1.8191502030000002,0.9147457957324043,0.0,0.0,0.0,0.008357781695258948,0.3083099698290499,0.20039718053479502,1.1469950679408962,0.0,0.0,0.0,0.0,0.0,0.0
